"","Ranking_2007","Brand","BrandValue_2007","PercentChangeinBV_2007","Sector","Region","Country"
"1",1,"Coca-Cola",65324,-3,"Beverages","The Americas","United States"
"2",2,"Microsoft",58709,3,"Technology","The Americas","United States"
"3",3,"IBM",57090,2,"Business Services","The Americas","United States"
"4",4,"GE",51569,5,"Diversified","The Americas","United States"
"5",5,"Nokia",33696,12,"Technology","Europe & Africa","Finland"
"6",6,"Toyota",32070,15,"Automotive","Asia Pacific","Japan"
"7",7,"Intel",30954,-4,"Technology","The Americas","United States"
"8",8,"McDonald's",29398,7,"Restaurants","The Americas","United States"
"9",9,"Disney",29210,5,"Media","The Americas","United States"
"10",10,"Mercedes-Benz",23568,8,"Automotive","Europe & Africa","Germany"
"11",11,"Citi",23442,9,"Financial Services","The Americas","United States"
"12",12,"HP",22197,9,"Technology","The Americas","United States"
"13",13,"BMW",21612,10,"Automotive","Europe & Africa","Germany"
"14",14,"Marlboro",21282,0,"Tobacco","The Americas","United States"
"15",15,"American Express",20827,6,"Financial Services","The Americas","United States"
"16",16,"Gillette",20415,4,"FMCG","The Americas","United States"
"17",17,"Louis Vuitton",20321,15,"Luxury","Europe & Africa","France"
"18",18,"Cisco",19099,9,"Technology","The Americas","United States"
"19",19,"Honda",17998,6,"Automotive","Asia Pacific","Japan"
"20",20,"Google",17837,44,"Technology","The Americas","United States"
"21",21,"Samsung",16853,4,"Technology","Asia Pacific","South Korea"
"22",22,"Merrill Lynch",14343,10,"Financial Services","The Americas","United States"
"23",23,"HSBC",13563,17,"Financial Services","Europe & Africa","United Kingdom"
"24",24,"NESCAFÉ",12950,4,"Beverages","Europe & Africa","Switzerland"
"25",25,"Sony",12907,10,"Electronics","Asia Pacific","Japan"
"26",26,"Pepsi",12888,2,"Beverages","The Americas","United States"
"27",27,"Oracle",12448,9,"Technology","The Americas","United States"
"28",28,"UPS",12013,12,"Logistics","The Americas","United States"
"29",29,"Nike",12003,10,"Sporting Goods","The Americas","United States"
"30",30,"Budweiser",11652,0,"Alcohol","The Americas","United States"
"31",31,"Dell",11554,-6,"Technology","The Americas","United States"
"32",32,"J.P. Morgan",11433,12,"Financial Services","The Americas","United States"
